trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
3,1503,23,10,3,1,0.019294743845642,0.015302727877578,0.344827586206897,0
4,329,56.65,10,2,5,0.063829787234043,0.172188449848024,0.476190476190476,0
6,1629,40.42,6,7,4,0.013505217925107,0.024812768569675,0.272727272727273,0
5,1435,91.96,4,3,3,0.013240418118467,0.06408362369338,0.210526315789474,0
6,314,48.54,6,1,1,0.076433121019108,0.154585987261147,0.25,0
5,285,6.23,5,6,2,0.105263157894737,0.021859649122807,0.166666666666667,0
5,891,78.96,2,10,2,0.028058361391695,0.088619528619529,0.08,0
2,1355,48.87,2,0,4,0.005166051660517,0.036066420664207,0.285714285714286,0
2,866,39.38,10,9,1,0.004618937644342,0.045473441108545,2.5,0
2,335,14.4,0,9,5,0.014925373134328,0.042985074626866,0,0
5,834,80.64,0,10,3,0.015587529976019,0.096690647482014,0,0
2,1397,62.59,7,9,4,0.017895490336435,0.044803149606299,0.28,1
5,1561,91.75,7,6,2,0.012171684817425,0.058776425368354,0.368421052631579,0
4,847,22.88,4,5,2,0.010625737898465,0.027012987012987,0.444444444444444,0
1,1520,41.88,6,8,2,0.001315789473684,0.027552631578947,3,0
2,622,60.75,11,5,4,0.012861736334405,0.097668810289389,1.375,0
4,1012,59.9,2,3,2,0.014822134387352,0.059189723320158,0.133333333333333,0
2,1451,23.1,3,9,3,0.001378359751895,0.01592005513439,1.5,0
2,401,80.86,0,1,0,0.019950124688279,0.201645885286783,0,0
6,960,93.09,7,2,3,0.010416666666667,0.09696875,0.7,0
6,1433,72.19,7,7,0,0.017445917655269,0.050376831821354,0.28,0
6,1424,66.9,9,8,3,0.017556179775281,0.046980337078652,0.36,0
6,1820,54.64,0,0,1,0.007142857142857,0.030021978021978,0,0
1,16,32.29,2,0,5,1.5,2.018125,0.083333333333333,0
4,617,90.73,0,0,5,0.00162074554295,0.147050243111831,0,0
3,1593,25.53,2,2,2,0.017576898932831,0.016026365348399,0.071428571428571,0
1,608,85.05,3,5,2,0.013157894736842,0.139884868421053,0.375,0
1,1385,34.68,5,8,4,0.019494584837545,0.025039711191336,0.185185185185185,1
3,983,14.07,2,4,0,0.019328585961343,0.014313326551373,0.105263157894737,0
1,768,7.24,4,10,3,0.014322916666667,0.009427083333333,0.363636363636364,0
1,1474,60.64,9,0,5,0.012890094979647,0.041139755766621,0.473684210526316,0
6,692,21.65,7,7,5,0.021676300578035,0.03128612716763,0.466666666666667,0
2,351,50.75,1,7,0,0.045584045584046,0.144586894586895,0.0625,0
1,107,39.55,1,6,4,0.252336448598131,0.369626168224299,0.037037037037037,0
5,1237,48.22,7,2,3,0.008084074373484,0.038981406628941,0.7,0
2,1450,62.63,5,9,3,0.010344827586207,0.043193103448276,0.333333333333333,0
5,508,57.9,2,7,0,0.02755905511811,0.113976377952756,0.142857142857143,0
1,1748,26.31,0,9,1,0.008581235697941,0.015051487414188,0,0
6,1000,61.24,7,3,0,0.009,0.06124,0.777777777777778,0
1,1123,28.94,1,0,5,0.013357079252004,0.025770258236866,0.066666666666667,0
1,232,18.27,9,5,2,0.008620689655172,0.07875,4.5,0
2,1327,7.02,7,1,5,0.018839487565938,0.005290128108515,0.28,0
6,449,21,5,4,2,0.002227171492205,0.046770601336303,5,0
4,1228,3.17,7,4,4,0.02442996742671,0.002581433224756,0.233333333333333,0
1,861,31.34,11,3,0,0.023228803716609,0.036399535423926,0.55,0
5,70,40.04,1,1,4,0.4,0.572,0.035714285714286,0
6,1154,57.64,7,10,4,0.017331022530329,0.049948006932409,0.35,0
3,1393,99.58,1,8,0,0.013639626704953,0.07148600143575,0.052631578947368,0
2,1068,23.64,4,0,1,0.01310861423221,0.022134831460674,0.285714285714286,0
6,300,93.04,4,4,3,0.033333333333333,0.310133333333333,0.4,0
2,250,33.95,11,10,3,0.056,0.1358,0.785714285714286,0
4,1411,49.25,2,8,4,0.002834868887314,0.034904323175053,0.5,0
4,1279,89.11,0,0,3,0.010946051602815,0.069671618451916,0,0
3,1771,2.51,3,1,4,0.005081874647092,0.0014172783738,0.333333333333333,0
3,1642,6.25,7,8,2,0.004872107186358,0.003806333739342,0.875,0
3,1018,27.26,1,9,0,0.023575638506876,0.026777996070727,0.041666666666667,0
3,44,78.64,1,10,1,0.090909090909091,1.78727272727273,0.25,0
3,550,84.57,6,0,3,0.04,0.153763636363636,0.272727272727273,0
2,109,24.32,10,0,5,0.100917431192661,0.223119266055046,0.909090909090909,0
3,1660,12.58,6,5,1,0.009036144578313,0.007578313253012,0.4,0
2,1078,58.61,9,10,3,0.007421150278293,0.054369202226345,1.125,0
2,1464,58.21,8,3,0,0.01775956284153,0.039760928961749,0.307692307692308,0
5,1228,85.93,11,0,1,0.01628664495114,0.069975570032573,0.55,0
6,1790,70.66,5,1,0,0.007262569832402,0.039474860335196,0.384615384615385,0
5,1052,67.09,6,2,4,0.018060836501901,0.063773764258555,0.315789473684211,0
1,996,71.94,7,0,1,0.02710843373494,0.072228915662651,0.259259259259259,1
2,1515,7.69,11,4,1,0.013861386138614,0.005075907590759,0.523809523809524,0
6,1245,22.06,4,7,4,0.008032128514056,0.017718875502008,0.4,0
2,952,0.58,8,5,0,0.016806722689076,0.000609243697479,0.5,0
5,1570,47.79,4,10,5,0.001273885350318,0.03043949044586,2,0
3,1599,36.79,9,5,3,0.010006253908693,0.023008130081301,0.5625,0
2,1305,87.65,7,8,4,0.021455938697318,0.067164750957854,0.25,1
6,122,14.32,1,5,5,0.114754098360656,0.117377049180328,0.071428571428571,0
6,861,97.36,6,9,5,0.009291521486643,0.113077816492451,0.75,0
6,1577,78.41,4,6,1,0.014584654407102,0.049720989220038,0.173913043478261,0
4,597,45.98,0,4,4,0.028475711892797,0.077018425460637,0,0
1,1319,37.1,7,7,0,0.014404852160728,0.028127369219105,0.368421052631579,0
1,1335,38.95,5,1,3,0.014232209737828,0.029176029962547,0.263157894736842,0
6,894,77.5,6,6,4,0.011185682326622,0.08668903803132,0.6,0
5,533,0.28,6,0,2,0.00375234521576,0.000525328330206,3,0
3,1636,70.4,8,9,4,0.009168704156479,0.043031784841076,0.533333333333333,0
3,185,98.96,4,2,1,0.145945945945946,0.534918918918919,0.148148148148148,0
4,113,23.38,11,10,0,0.15929203539823,0.206902654867257,0.611111111111111,0
4,1814,52.98,3,7,4,0.007166482910695,0.029206174200662,0.230769230769231,0
4,477,1.36,10,1,1,0.044025157232704,0.002851153039832,0.476190476190476,0
6,1123,33.03,10,6,3,0.005342831700801,0.029412288512912,1.66666666666667,0
2,1278,98.78,2,3,1,0.006259780907668,0.077292644757434,0.25,0
3,1171,90.98,8,1,0,0.013663535439795,0.077694278394535,0.5,0
4,1175,77.42,0,5,3,0.011914893617021,0.065889361702128,0,0
2,1094,91.26,9,0,3,0.006398537477148,0.083418647166362,1.28571428571429,0
1,990,19.42,1,7,3,0.02020202020202,0.019616161616162,0.05,0
5,37,62.17,9,4,4,0.783783783783784,1.68027027027027,0.310344827586207,0
5,356,68.03,5,3,5,0.019662921348315,0.191095505617978,0.714285714285714,0
6,493,86.24,6,0,3,0.036511156186613,0.174929006085193,0.333333333333333,0
3,654,85.68,4,10,3,0.001529051987768,0.131009174311927,4,0
2,509,85.16,1,5,3,0.031434184675835,0.167308447937132,0.0625,0
4,580,89.67,3,7,1,0.029310344827586,0.154603448275862,0.176470588235294,0
3,435,9.79,2,5,4,0.052873563218391,0.022505747126437,0.08695652173913,0
3,770,58.93,8,0,1,0.02987012987013,0.076532467532468,0.347826086956522,0
5,1786,69.83,6,8,3,0.001119820828667,0.039098544232923,3,0
1,485,17.63,10,3,5,0.051546391752577,0.036350515463918,0.4,1
5,690,58.35,8,7,3,0.001449275362319,0.084565217391304,8,0
6,1059,13.5,6,9,2,0.023607176581681,0.012747875354108,0.24,0
4,420,89.92,2,2,3,0.052380952380952,0.214095238095238,0.090909090909091,0
3,1488,53.87,7,9,1,0.01747311827957,0.036202956989247,0.269230769230769,0
5,827,40.5,3,3,4,0.024183796856106,0.048972188633616,0.15,0
2,669,13.58,6,7,1,0.002989536621824,0.020298953662182,3,0
4,270,78.69,3,0,3,0.092592592592593,0.291444444444444,0.12,0
4,466,48.17,8,0,0,0.062231759656652,0.103369098712446,0.275862068965517,0
2,959,11.63,6,10,0,0.02606882168926,0.012127215849844,0.24,0
2,282,70.79,4,8,4,0.024822695035461,0.251028368794326,0.571428571428571,0
3,304,12.09,2,8,0,0.029605263157895,0.039769736842105,0.222222222222222,0
3,1237,96.4,3,1,3,0.005658852061439,0.077930476960388,0.428571428571429,0
3,1152,91.91,10,8,5,0.001736111111111,0.079782986111111,5,0
5,78,92.86,5,1,5,0.384615384615385,1.19051282051282,0.166666666666667,0
5,726,12.28,2,5,4,0.012396694214876,0.016914600550964,0.222222222222222,0
2,414,98.72,0,5,1,0.031400966183575,0.238454106280193,0,0
1,898,2.64,9,3,5,0.033407572383074,0.00293986636971,0.3,1
1,788,80.87,0,8,3,0.010152284263959,0.102626903553299,0,0
1,1312,51.43,7,1,1,0.007621951219512,0.039199695121951,0.7,0
5,106,81.05,2,3,3,0.047169811320755,0.764622641509434,0.4,0
4,921,3.39,3,4,2,0.002171552660152,0.003680781758958,1.5,0
1,299,42.06,9,8,3,0.030100334448161,0.14066889632107,1,0
2,1755,8.32,2,0,4,0.005128205128205,0.004740740740741,0.222222222222222,0
5,798,42.57,11,6,4,0.035087719298246,0.053345864661654,0.392857142857143,0
1,383,37.25,2,10,2,0.070496083550914,0.097258485639687,0.074074074074074,1
2,530,37.36,1,3,3,0.049056603773585,0.070490566037736,0.038461538461539,0
5,1300,22.86,3,7,3,0.01,0.017584615384615,0.230769230769231,0
4,1419,58.79,7,9,1,0.006342494714588,0.041430584918957,0.777777777777778,0
3,1741,11.94,7,3,5,0.016657093624354,0.006858127512924,0.241379310344828,0
1,1035,61.75,8,0,0,0.002898550724638,0.059661835748792,2.66666666666667,0
1,818,88.58,7,8,3,0.02200488997555,0.108288508557457,0.388888888888889,0
5,756,8.12,1,1,1,0.001322751322751,0.010740740740741,1,0
2,735,89.47,8,9,3,0.035374149659864,0.121727891156463,0.307692307692308,0
5,1262,81.87,4,1,0,0.020602218700475,0.064873217115689,0.153846153846154,0
1,1096,97.39,1,4,1,0.011861313868613,0.088859489051095,0.076923076923077,0
4,767,9.18,8,8,3,0.02477183833116,0.011968709256845,0.421052631578947,0
6,1668,73.58,1,5,3,0.012589928057554,0.044112709832134,0.047619047619048,0
6,488,38.44,8,1,2,0.047131147540984,0.078770491803279,0.347826086956522,0
3,1424,39.11,3,10,5,0.008426966292135,0.027464887640449,0.25,0
3,1518,81.03,8,4,2,0.00197628458498,0.053379446640316,2.66666666666667,0
2,569,32.98,4,4,0,0.04920913884007,0.057961335676626,0.142857142857143,0
3,1504,98.66,7,4,0,0.015292553191489,0.065598404255319,0.304347826086957,0
3,1059,36.28,0,6,4,0.001888574126534,0.034258734655335,0,0
4,81,51.58,9,3,5,0.185185185185185,0.63679012345679,0.6,0
4,1235,40.55,9,2,5,0.00080971659919,0.032834008097166,9,0
2,297,91.67,5,6,4,0.084175084175084,0.308653198653199,0.2,0
6,2,75.74,6,1,1,4,37.87,0.75,0
2,576,91.74,3,4,3,0.019097222222222,0.159270833333333,0.272727272727273,0
5,1145,85.1,2,9,0,0.018340611353712,0.074323144104804,0.095238095238095,0
5,1138,78.7,3,5,0,0.018453427065026,0.069156414762742,0.142857142857143,0
1,1075,31.95,3,8,0,0.021395348837209,0.029720930232558,0.130434782608696,1
1,1382,36.76,5,7,1,0.016642547033285,0.026599131693198,0.217391304347826,1
3,876,42.68,9,0,2,0.012557077625571,0.048721461187215,0.818181818181818,0
1,219,89.69,3,5,5,0.114155251141553,0.409543378995434,0.12,0
5,1439,36.09,3,5,5,0.006254343293954,0.025079916608756,0.333333333333333,0
2,1818,79.15,6,4,0,0.001100110011001,0.043536853685369,3,0
1,218,41.93,4,7,2,0.096330275229358,0.192339449541284,0.19047619047619,0
5,793,10.3,8,5,1,0.020176544766709,0.012988650693569,0.5,0
4,1437,92.55,11,6,5,0.014613778705637,0.064405010438413,0.523809523809524,0
2,542,22.4,0,1,5,0.003690036900369,0.041328413284133,0,0
6,1559,68.32,11,8,5,0.015394483643361,0.043822963438101,0.458333333333333,0
6,671,0.7,4,5,3,0.029806259314456,0.001043219076006,0.2,0
5,641,79.14,1,6,1,0.043681747269891,0.123463338533541,0.035714285714286,0
2,277,76.34,5,10,0,0.025270758122744,0.275595667870036,0.714285714285714,0
5,1719,94.59,1,6,3,0.008144269924375,0.055026178010471,0.071428571428571,0
2,249,77.28,9,3,4,0.044176706827309,0.310361445783133,0.818181818181818,0
2,1803,7.51,6,2,0,0.006100942872989,0.004165280088741,0.545454545454545,0
5,165,79.75,2,7,4,0.036363636363636,0.483333333333333,0.333333333333333,0
5,1726,7.75,2,5,3,0.004055619930475,0.004490150637312,0.285714285714286,0
2,1767,25.97,7,5,1,0.009054895302773,0.014697226938314,0.4375,0
1,310,65.47,5,5,2,0.051612903225807,0.211193548387097,0.3125,0
4,1320,77.93,4,6,1,0.017424242424242,0.059037878787879,0.173913043478261,0
2,796,3.76,1,2,0,0.031407035175879,0.004723618090452,0.04,0
5,1559,61.66,7,5,2,0.00384862091084,0.039550994227069,1.16666666666667,0
2,373,28.95,5,2,4,0.067024128686327,0.077613941018767,0.2,0
4,1221,93.06,2,2,0,0.010647010647011,0.076216216216216,0.153846153846154,0
3,460,50.97,9,9,4,0.004347826086957,0.110804347826087,4.5,0
5,1024,66.64,1,3,0,0.0087890625,0.065078125,0.111111111111111,0
1,1054,75.58,11,5,4,0.020872865275142,0.071707779886148,0.5,1
1,198,49.24,1,1,4,0.03030303030303,0.248686868686869,0.166666666666667,0
1,524,38.78,11,3,3,0.040076335877863,0.074007633587786,0.523809523809524,0
6,172,58.21,8,7,5,0.069767441860465,0.33843023255814,0.666666666666667,0
5,1049,77.81,2,7,0,0.005719733079123,0.07417540514776,0.333333333333333,0
6,1603,47.86,9,9,3,0.000623830318153,0.029856519026825,9,0
4,1718,43.52,3,6,0,0.011641443538999,0.025331781140862,0.15,0
4,813,59.43,8,9,2,0.018450184501845,0.07309963099631,0.533333333333333,0
5,1399,61.58,5,10,5,0.011436740528949,0.044017155110793,0.3125,0
5,1151,97.79,6,8,1,0.014769765421373,0.08496090356212,0.352941176470588,0
1,909,64.11,8,0,3,0.005500550055006,0.070528052805281,1.6,0
1,704,23.16,2,8,3,0.042613636363636,0.032897727272727,0.066666666666667,1
2,1530,8.91,4,3,3,0.013071895424837,0.005823529411765,0.2,0
3,13,25.19,10,5,1,1.46153846153846,1.93769230769231,0.526315789473684,0
1,636,38.87,8,0,4,0.028301886792453,0.061116352201258,0.444444444444444,0
6,1434,17.25,0,8,0,0.016039051603905,0.012029288702929,0,0
2,1459,77.21,4,1,2,0.017820424948595,0.052919808087731,0.153846153846154,0
5,1123,58.9,8,9,1,0.021371326803206,0.052448797862867,0.333333333333333,0
6,1100,26.82,8,0,2,0.025454545454546,0.024381818181818,0.285714285714286,0
4,352,21.69,10,7,0,0.019886363636364,0.061619318181818,1.42857142857143,0
1,473,15.14,11,1,0,0.054968287526427,0.03200845665962,0.423076923076923,1
2,1597,11.14,2,5,5,0.013775829680651,0.006975579211021,0.090909090909091,0
1,91,0.26,8,6,4,0.307692307692308,0.002857142857143,0.285714285714286,1
4,1821,91.48,7,10,4,0.008786381109281,0.050236133992312,0.4375,0
5,709,22.5,9,8,0,0.02820874471086,0.031734837799718,0.45,0
1,1537,38.44,5,6,1,0.017566688353936,0.025009759271308,0.185185185185185,1
3,691,33.87,9,5,1,0.030390738060782,0.049015918958032,0.428571428571429,0
2,1698,7.59,6,7,5,0.011189634864547,0.004469964664311,0.315789473684211,0
6,1698,32.22,4,3,3,0.000588928150766,0.018975265017668,4,0
3,171,21.51,1,3,5,0.099415204678363,0.125789473684211,0.058823529411765,0
4,216,77.45,3,6,3,0.083333333333333,0.358564814814815,0.166666666666667,0
5,1026,24.44,3,3,0,0.022417153996101,0.023820662768031,0.130434782608696,0
2,1660,13.69,1,3,2,0.012650602409639,0.008246987951807,0.047619047619048,0
4,123,6.72,4,9,4,0.235772357723577,0.054634146341463,0.137931034482759,0
5,635,52.23,9,0,5,0.045669291338583,0.082251968503937,0.310344827586207,0
4,942,90.29,7,1,5,0.018046709129512,0.095849256900212,0.411764705882353,0
4,581,87.17,1,3,1,0.032702237521515,0.150034423407917,0.052631578947368,0
1,439,63.23,10,3,2,0.018223234624146,0.144031890660592,1.25,0
5,1469,91.79,1,8,3,0.0142954390742,0.062484683458135,0.047619047619048,0
1,511,28.39,10,5,2,0.023483365949119,0.055557729941292,0.833333333333333,0
6,1796,10.77,1,2,4,0.005011135857461,0.005996659242762,0.111111111111111,0
3,440,49.34,3,5,5,0.011363636363636,0.112136363636364,0.6,0
4,467,94.13,3,9,4,0.0406852248394,0.201563169164882,0.157894736842105,0
2,365,20.05,8,10,2,0.035616438356164,0.054931506849315,0.615384615384615,0
5,1720,86.84,4,1,3,0.009883720930233,0.050488372093023,0.235294117647059,0
5,853,23.57,3,3,1,0.011723329425557,0.027631887456038,0.3,0
2,705,17.95,4,3,3,0.018439716312057,0.025460992907801,0.307692307692308,0
5,1581,65.84,9,5,4,0.008855154965212,0.041644528779254,0.642857142857143,0
2,880,51.25,0,10,3,0.017045454545455,0.058238636363636,0,0
5,247,41.18,5,8,5,0.080971659919028,0.166720647773279,0.25,0
3,1365,80.09,8,2,1,0.021245421245421,0.058673992673993,0.275862068965517,0
6,1420,5.34,11,2,2,0.016197183098592,0.003760563380282,0.478260869565217,0
4,928,62.81,8,7,4,0.009698275862069,0.067683189655172,0.888888888888889,0
6,1097,21.77,1,10,0,0.010027347310848,0.019845031905196,0.090909090909091,0
2,454,77.15,1,1,5,0.061674008810573,0.169933920704846,0.035714285714286,0
2,268,98.18,7,0,4,0.093283582089552,0.36634328358209,0.28,0
1,637,39.52,10,1,0,0.020408163265306,0.062040816326531,0.769230769230769,0
2,1355,81.16,7,5,0,0.008118081180812,0.05989667896679,0.636363636363636,0
1,1568,2.42,2,6,2,0.006377551020408,0.001543367346939,0.2,0
5,838,44.03,11,6,2,0.010739856801909,0.052541766109785,1.22222222222222,0
1,856,15.25,0,3,5,0.001168224299065,0.017815420560748,0,0
5,490,32.22,6,4,3,0.055102040816327,0.065755102040816,0.222222222222222,0
2,196,39.11,8,8,4,0.112244897959184,0.199540816326531,0.363636363636364,0
3,594,31.55,6,10,4,0.026936026936027,0.053114478114478,0.375,0
6,890,59.49,11,4,4,0.01123595505618,0.066842696629214,1.1,0
1,1666,25.6,5,5,3,0.006002400960384,0.015366146458583,0.5,0
2,506,86.07,0,6,1,0.023715415019763,0.170098814229249,0,0
6,1162,42.24,6,3,3,0.006884681583477,0.036351118760757,0.75,0
1,546,23.92,11,2,1,0.032967032967033,0.043809523809524,0.611111111111111,0
6,285,76.75,11,7,3,0.049122807017544,0.269298245614035,0.785714285714286,0
5,475,51.6,0,4,1,0.006315789473684,0.108631578947368,0,0
6,127,11.91,10,4,4,0.228346456692913,0.093779527559055,0.344827586206897,0
3,1527,27.08,8,10,1,0.005893909626719,0.01773411918795,0.888888888888889,0
1,618,98.64,11,8,2,0.042071197411003,0.159611650485437,0.423076923076923,1
4,854,81.62,7,0,5,0.026932084309134,0.095573770491803,0.304347826086957,0
2,124,8.18,2,0,2,0.120967741935484,0.065967741935484,0.133333333333333,0
3,1479,4.06,0,4,3,0.010141987829615,0.002745098039216,0,0
4,233,83.33,0,0,2,0.030042918454936,0.357639484978541,0,0
4,1546,10.98,10,9,2,0.011642949547219,0.007102199223803,0.555555555555556,0
4,1530,77.52,5,3,4,0.005882352941176,0.050666666666667,0.555555555555556,0
6,579,19.6,0,1,1,0.036269430051814,0.033851468048359,0,0
6,732,18.93,0,10,2,0.01775956284153,0.025860655737705,0,0
4,259,49.63,2,4,1,0.096525096525097,0.191621621621622,0.08,0
3,989,22.77,7,7,3,0.025278058645096,0.023023255813954,0.28,0
5,580,66.02,9,3,1,0.008620689655172,0.113827586206897,1.8,0
6,1624,29.71,5,2,3,0.012315270935961,0.01829433497537,0.25,0
2,1813,22.14,8,1,0,0.005515719801434,0.012211803640375,0.8,0
1,1830,48.69,10,10,0,0.013661202185792,0.026606557377049,0.4,1
6,1325,44.92,2,8,5,0.009811320754717,0.033901886792453,0.153846153846154,0
3,1704,50.7,3,10,2,0.012323943661972,0.029753521126761,0.142857142857143,0
2,1296,39.97,4,1,1,0.015432098765432,0.030841049382716,0.2,0
2,888,26.43,9,2,1,0.022522522522523,0.029763513513514,0.45,0
2,809,21.21,0,7,5,0.021013597033375,0.026217552533993,0,0
5,80,79.55,3,0,5,0.2625,0.994375,0.142857142857143,0
1,339,80.28,8,1,2,0.085545722713864,0.236814159292035,0.275862068965517,0
4,1628,65.1,0,5,5,0.002457002457002,0.039987714987715,0,0
1,1225,96.92,9,7,5,0.024489795918367,0.079118367346939,0.3,1
5,1342,13.19,11,9,2,0.00521609538003,0.009828614008942,1.57142857142857,0
3,1051,26.24,11,1,3,0.024738344433873,0.024966698382493,0.423076923076923,0
4,259,23.83,4,5,5,0.030888030888031,0.092007722007722,0.5,0
3,751,68.27,7,1,3,0.033288948069241,0.090905459387483,0.28,0
6,715,14,11,6,0,0.013986013986014,0.01958041958042,1.1,0
2,1048,45.74,3,5,5,0.004770992366412,0.043645038167939,0.6,0
1,357,85.61,10,9,1,0.064425770308123,0.239803921568627,0.434782608695652,0
2,1147,70.69,8,9,5,0.004359197907585,0.061630340017437,1.6,0
1,1362,89.74,8,6,5,0.002202643171806,0.065888399412629,2.66666666666667,0
6,318,39.67,6,9,5,0.028301886792453,0.124748427672956,0.666666666666667,0
2,43,94.91,10,1,4,0.325581395348837,2.20720930232558,0.714285714285714,0
4,383,71.94,3,3,5,0.007832898172324,0.187832898172324,1,0
3,1329,57.14,5,7,1,0.020316027088036,0.042994732881866,0.185185185185185,0
5,598,13.13,11,3,2,0.005016722408027,0.02195652173913,3.66666666666667,0
2,758,18.6,6,8,5,0.006596306068602,0.024538258575198,1.2,0
2,1783,78.3,11,3,3,0.003365114974762,0.043914750420639,1.83333333333333,0
6,109,20.55,4,10,1,0.100917431192661,0.188532110091743,0.363636363636364,0
5,40,43.72,0,8,5,0.025,1.093,0,0
4,1516,73.82,2,2,3,0.00197889182058,0.048693931398417,0.666666666666667,0
6,791,23.22,8,2,3,0.037926675094817,0.029355246523388,0.266666666666667,0
5,32,51.73,3,6,2,0.40625,1.6165625,0.230769230769231,0
4,911,24.53,4,0,3,0.023051591657519,0.026926454445664,0.19047619047619,0
1,1099,35.31,11,3,2,0.021838034576888,0.032129208371247,0.458333333333333,1
4,46,40.98,9,9,2,0.652173913043478,0.890869565217391,0.3,0
1,1250,21.36,7,4,3,0.0032,0.017088,1.75,0
2,42,26.6,8,3,1,0.619047619047619,0.633333333333333,0.307692307692308,0
6,1569,62.42,0,4,1,0.012109623964309,0.039783301465902,0,0
1,1244,87.97,3,8,2,0.008038585209003,0.070715434083601,0.3,0
1,1499,96.19,9,0,3,0.018012008005337,0.064169446297532,0.333333333333333,1
5,764,91.5,11,2,2,0.027486910994764,0.119764397905759,0.523809523809524,0
2,694,74.11,10,6,4,0.011527377521614,0.10678674351585,1.25,0
2,1108,77.25,10,10,0,0.020758122743682,0.069720216606498,0.434782608695652,0
1,1595,11.61,7,8,0,0.002507836990596,0.007278996865204,1.75,0
2,1478,75.28,2,3,1,0.013531799729364,0.050933694181326,0.1,0
2,895,27.48,11,1,5,0.020111731843575,0.030703910614525,0.611111111111111,0
6,51,1.25,3,1,1,0.294117647058824,0.024509803921569,0.2,0
3,1744,78.42,9,8,4,0.017201834862385,0.044965596330275,0.3,0
5,1666,79.5,4,5,0,0.002400960384154,0.047719087635054,1,0
6,780,63.66,11,3,2,0.021794871794872,0.081615384615385,0.647058823529412,0
3,848,52.37,2,4,0,0.022405660377359,0.061757075471698,0.105263157894737,0
4,741,36.36,3,4,2,0.032388663967611,0.049068825910931,0.125,0
2,415,37.77,1,5,1,0.053012048192771,0.091012048192771,0.045454545454546,0
3,1328,93.55,5,4,5,0.021084337349398,0.070444277108434,0.178571428571429,0
4,709,0.23,2,8,3,0.023977433004231,0.000324400564175,0.117647058823529,0
3,136,42.61,6,0,4,0.161764705882353,0.313308823529412,0.272727272727273,0
2,1363,1.84,7,7,4,0.016874541452678,0.001349963316214,0.304347826086957,0
1,1259,78.34,10,6,2,0.011119936457506,0.062223987291501,0.714285714285714,0
4,572,88.48,9,6,4,0.034965034965035,0.154685314685315,0.45,0
6,1573,62.05,9,6,5,0.008264462809917,0.039446916719644,0.692307692307692,0
2,933,22.62,7,1,3,0.018220793140407,0.024244372990354,0.411764705882353,0
3,1639,45.02,9,4,5,0.008541793776693,0.027467968273337,0.642857142857143,0
1,189,42.45,6,10,1,0.137566137566138,0.224603174603175,0.230769230769231,1
6,1069,92.12,1,7,4,0.018709073900842,0.086173994387278,0.05,0
1,1155,2.24,2,0,2,0.005194805194805,0.001939393939394,0.333333333333333,0
1,424,61.96,5,2,4,0.002358490566038,0.146132075471698,5,0
2,623,11.15,5,8,0,0.008025682182986,0.017897271268058,1,0
3,1600,89.81,0,2,2,0.000625,0.05613125,0,0
2,968,78.35,8,1,3,0.022727272727273,0.080940082644628,0.363636363636364,0
2,1659,54.7,7,9,4,0.000602772754671,0.03297166968053,7,0
